"","Zone","Region_Name","number_fires","mean_fs_BEC","min_fs_BEC","max_fs_BEC","FRI"
"1","Columbia","ESSFdk1",2,128,10,246,165
"2","Columbia","ESSFdk2",14,40,0,274,4050
"3","Columbia","ESSFdkp",6,9,0,23,2700
"4","Columbia","ESSFdkw",8,25,0,118,4050
"5","Columbia","ESSFmmp",3,0,0,0,NA
"6","Columbia","ESSFmmw",1,0,0,0,NA
"7","Columbia","ICHmk5",7,55,1,198,4050
"8","Columbia","IDFdk5",24,62,0,613,2025
"9","Columbia","IDFdm2",7,37,0,261,1012
"10","Columbia","IDFxk",16,103,0,1753,810
"11","Columbia","IMAun",1,11,11,11,198
"12","Columbia","MSdk",19,122,0,892,1620
"13","Columbia","MSdw",4,120,1,566,253
"14","Columbia","ESSFmm3",NA,NA,NA,NA,NA
"15","Columbia","ICHmw1",NA,NA,NA,NA,NA
"16","Elk","ESSFdk1",45,209,0,10508,476
"17","Elk","ESSFdk2",23,186,0,3951,450
"18","Elk","ESSFdkp",29,28,0,226,386
"19","Elk","ESSFdkw",48,62,0,1162,579
"20","Elk","ESSFwm1",21,213,0,1440,368
"21","Elk","ESSFwmp",6,22,2,65,219
"22","Elk","ESSFwmw",16,89,0,1133,312
"23","Elk","ICHdm",2,41,4,79,1620
"24","Elk","ICHmk4",16,165,0,1108,810
"25","Elk","IMAun",7,12,2,42,57
"26","Elk","MSdk",22,74,0,1110,810
"27","Elk","MSdw",50,92,0,1644,810
"28","Elk","IDFdm2",NA,NA,NA,NA,NA
"29","Kootenay North","ESSFdk1",3,168,7,612,312
"30","Kootenay North","ESSFdk2",55,429,0,11078,193
"31","Kootenay North","ESSFdkp",27,38,0,315,289
"32","Kootenay North","ESSFdkw",38,147,0,1706,261
"33","Kootenay North","ESSFwm1",2,118,28,205,123
"34","Kootenay North","ESSFwmp",2,19,0,60,300
"35","Kootenay North","ESSFwmw",2,70,3,168,135
"36","Kootenay North","ICHmk5",6,119,7,495,540
"37","Kootenay North","IDFdm2",2,5,3,6,NA
"38","Kootenay North","IMAun",11,19,0,177,176
"39","Kootenay North","MSdk",39,292,0,7633,324
"40","Kootenay North","MSdw",4,88,0,272,810
"41","Kootenay South","ESSFdk1",53,191,0,3393,352
"42","Kootenay South","ESSFdk2",6,81,0,375,476
"43","Kootenay South","ESSFdkp",6,7,0,33,4050
"44","Kootenay South","ESSFdkw",21,58,0,341,1012
"45","Kootenay South","ESSFwh2",10,121,0,1515,368
"46","Kootenay South","ESSFwm1",10,73,6,434,540
"47","Kootenay South","ESSFwm2",19,130,0,2760,476
"48","Kootenay South","ESSFwm4",63,202,0,6075,300
"49","Kootenay South","ESSFwmp",15,25,0,211,1620
"50","Kootenay South","ESSFwmw",42,53,0,1040,736
"51","Kootenay South","ICHdm",80,113,0,1643,405
"52","Kootenay South","ICHdw1",12,103,0,703,1157
"53","Kootenay South","ICHmk4",6,162,1,480,324
"54","Kootenay South","ICHmw2",2,1,0,2,NA
"55","Kootenay South","ICHxw",2,5,3,7,8100
"56","Kootenay South","IDFdm2",88,55,0,1189,2025
"57","Kootenay South","IDFxk",1,8,4,12,81
"58","Kootenay South","IDFxx2",122,31,0,455,900
"59","Kootenay South","MSdk",2,28,17,39,1620
"60","Kootenay South","MSdw",65,165,0,5446,405
"61","Kootenay South","IMAun",NA,NA,NA,NA,NA
"62","Purcell","ESSFdk1",6,414,1,1355,231
"63","Purcell","ESSFdk2",27,122,0,1002,1350
"64","Purcell","ESSFdkp",11,18,0,96,4050
"65","Purcell","ESSFdkw",18,45,0,467,2700
"66","Purcell","ESSFmm3",12,110,0,622,1620
"67","Purcell","ESSFmmp",4,26,0,69,8100
"68","Purcell","ESSFmmw",5,66,3,166,4050
"69","Purcell","ESSFwh2",13,25,0,89,1620
"70","Purcell","ESSFwm2",16,55,0,208,2025
"71","Purcell","ESSFwmp",4,12,0,29,8100
"72","Purcell","ESSFwmw",10,26,1,105,4050
"73","Purcell","ICHdm",8,63,0,416,405
"74","Purcell","ICHmk5",1,74,74,74,4050
"75","Purcell","ICHmw2",2,42,24,61,2700
"76","Purcell","IDFdk5",3,70,1,346,1620
"77","Purcell","IDFdm2",6,275,0,1779,213
"78","Purcell","IDFxk",1,11,0,23,81
"79","Purcell","IMAun",4,10,0,34,1620
"80","Purcell","MSdk",20,94,0,638,1012
"81","Purcell","MSdw",3,586,1,2033,231
"82","Purcell","ESSFwcp",NA,NA,NA,NA,NA
"83","Purcell","ESSFwcw",NA,NA,NA,NA,NA
